token_id,name,source,稀有度,角色,姿势,五官,贴图,衣服,配饰,背景,特效,见证者,画质
73,牛来 #0073,ipfs-original,普通,路人牛,T-pose残留,豆眼,原厂贴图,无,牺牲光环,牛马工位,无,云雀缺席,片源直出
74,牛来 #0074,ipfs-original,普通,狼狗,直立呆站,豆眼,原厂贴图,无,无,涨停板,无,云雀在场,影院翻拍
75,牛来 #0075,ipfs-original,稀有,灵蛇,T-pose残留,死鱼眼,UV接缝可见,无,爆米花桶,涨停板,弹幕,云雀在场,影院翻拍
76,牛来 #0076,ipfs-original,普通,豹拉,直立呆站,斗鸡眼,原厂贴图,无,保龄球果子,牛角古树,加场印章,云雀缺席,影院翻拍
77,牛来 #0077,ipfs-original,普通,牛来,直立呆站,少了一只眼,原厂贴图,红领巾,电影票根,大平地,弹幕,云雀缺席,片源直出
78,牛来 #0078,okx-reconstructed,普通,牛来,直立呆站,斗鸡眼,UV接缝可见,无,篮球,影厅,无,云雀在场,片源直出
79,牛来 #0079,ipfs-original,普通,狼狗,直立呆站,豆眼,贴图丢失,无,K线小旗,影厅,穿模标注,云雀在场,影院翻拍
80,牛来 #0080,ipfs-original,普通,路人牛,单手举起,豆眼,原厂贴图,无,锦旗,云上梦境,无,云雀在场,影院翻拍
81,牛来 #0081,ipfs-original,普通,狼狗,直立呆站,豆眼,原厂贴图,无,麦克风,牛群集会,穿模标注,云雀缺席,影院翻拍
82,牛来 #0082,ipfs-original,稀有,牛妈,直立呆站,豆眼,UV接缝可见,红披风,牛奶瓶,贴图树林,加场印章,云雀在场,片源直出
83,牛来 #0083,ipfs-original,普通,狼狗,直立呆站,五星眼,原厂贴图,无,保龄球果子,大平地,无,云雀缺席,影院翻拍
84,牛来 #0084,ipfs-original,普通,牛来,直立呆站,豆眼,UV接缝可见,无,牛奶瓶,牛马工位,无,云雀缺席,片源直出
85,牛来 #0085,ipfs-original,普通,路人牛,直立呆站,死鱼眼,原厂贴图,红唐装,无,大平地,无,云雀缺席,片源直出
86,牛来 #0086,ipfs-original,普通,云雀,直立呆站,斗鸡眼,UV接缝可见,无,无,云上梦境,加场印章,云雀缺席,片源直出
87,牛来 #0087,ipfs-original,普通,豹拉,T-pose残留,斗鸡眼,原厂贴图,无,无,牛马工位,票房计数器,云雀在场,片源直出
88,牛来 #0088,ipfs-original,普通,豹拉,直立呆站,豆眼,UV接缝可见,校服外套,无,水墨河谷,无,云雀缺席,影院翻拍
89,牛来 #0089,ipfs-original,普通,灵蛇,直立呆站,死鱼眼,原厂贴图,无,无,影厅,弹幕,云雀缺席,影院翻拍
90,牛来 #0090,ipfs-original,普通,牛来,单手举起,死鱼眼,原厂贴图,白大褂,奖杯,水墨河谷,涨停标签,云雀在场,影院翻拍
91,牛来 #0091,ipfs-original,普通,灵蛇,直立呆站,少了一只眼,UV接缝可见,无,无,云上梦境,票房计数器,云雀缺席,片源直出
92,牛来 #0092,ipfs-original,普通,路人牛,直立呆站,豆眼,贴图丢失,无,安全帽,牛角古树,无,云雀缺席,影院翻拍
93,牛来 #0093,ipfs-original,普通,狼狗,单手举起,五星眼,原厂贴图,无,方向盘,荒漠,穿模标注,云雀缺席,影院翻拍
94,牛来 #0094,okx-reconstructed,普通,豹拉,T-pose残留,斗鸡眼,贴图丢失,皮草大衣,股民墨镜,山洞里,无,云雀缺席,影院翻拍
95,牛来 #0095,ipfs-original,普通,牛来,直立呆站,豆眼,原厂贴图,黄雨衣,无,大平地,无,云雀缺席,影院翻拍
96,牛来 #0096,ipfs-original,普通,路人牛,直立呆站,豆眼,原厂贴图,黑皮夹克,金元宝,影院门口,涨停标签,云雀在场,影院翻拍
97,牛来 #0097,ipfs-original,普通,豹拉,直立呆站,死鱼眼,贴图丢失,皮草大衣,无,牛角古树,无,云雀缺席,影院翻拍
98,牛来 #0098,ipfs-original,普通,牛妈,直立呆站,少了一只眼,原厂贴图,无,牛奶瓶,荒漠,无,云雀缺席,片源直出
99,牛来 #0099,ipfs-original,普通,路人牛,直立呆站,五星眼,贴图丢失,牛来卫衣,麦克风,大平地,票房计数器,云雀缺席,影院翻拍
100,牛来 #0100,ipfs-original,普通,灵蛇,T-pose残留,豆眼,UV接缝可见,无,金元宝,水墨河谷,涨停标签,云雀缺席,影院翻拍
101,牛来 #0101,okx-reconstructed,普通,路人牛,直立呆站,斗鸡眼,原厂贴图,无,股民墨镜,影厅,票房计数器,云雀在场,片源直出
102,牛来 #0102,okx-reconstructed,普通,豹拉,T-pose残留,死鱼眼,原厂贴图,无,一把韭菜,云上梦境,无,云雀缺席,影院翻拍
103,牛来 #0103,ipfs-original,普通,牛来,单手举起,死鱼眼,原厂贴图,白大褂,牛奶瓶,大平地,无,云雀缺席,影院翻拍
104,牛来 #0104,ipfs-original,普通,狼狗,直立呆站,豆眼,原厂贴图,无,口罩,跌停板,票房计数器,云雀在场,影院翻拍
105,牛来 #0105,ipfs-original,普通,牛来,T-pose残留,死鱼眼,原厂贴图,无,奖杯,牛群集会,弹幕,云雀缺席,片源直出
106,牛来 #0106,ipfs-original,普通,狼狗,T-pose残留,豆眼,原厂贴图,红领巾,一把韭菜,涨停板,加场印章,云雀缺席,片源直出
107,牛来 #0107,ipfs-original,普通,路人牛,单手举起,豆眼,原厂贴图,无,股民墨镜,云上梦境,弹幕,云雀缺席,片源直出
108,牛来 #0108,okx-reconstructed,普通,牛来,T-pose残留,豆眼,牛市金身,无,麦克风,牛马工位,无,云雀在场,影院翻拍
109,牛来 #0109,ipfs-original,普通,牛来,T-pose残留,死鱼眼,原厂贴图,无,安全帽,牛角古树,票房计数器,云雀缺席,影院翻拍
110,牛来 #0110,ipfs-original,稀有,豹拉,直立呆站,豆眼,UV接缝可见,白大褂,无,荒漠夜,加场印章,云雀在场,影院翻拍
111,牛来 #0111,ipfs-original,普通,牛来,直立呆站,豆眼,贴图丢失,红披风,无,牛群集会,弹幕,云雀缺席,片源直出
112,牛来 #0112,ipfs-original,普通,牛来,T-pose残留,豆眼,UV接缝可见,7号球衣,牛奶瓶,悬崖推土车,无,云雀缺席,影院翻拍
113,牛来 #0113,ipfs-original,普通,云雀,T-pose残留,豆眼,贴图丢失,黄雨衣,锦旗,牛群集会,无,云雀缺席,影院翻拍
114,牛来 #0114,ipfs-original,普通,云雀,T-pose残留,少了一只眼,UV接缝可见,无,电影票根,涨停板,无,云雀缺席,片源直出
115,牛来 #0115,ipfs-original,普通,灵蛇,直立呆站,死鱼眼,原厂贴图,7号球衣,方向盘,悬崖推土车,无,云雀在场,片源直出
116,牛来 #0116,ipfs-original,普通,牛来,T-pose残留,死鱼眼,贴图丢失,无,爆米花桶,山洞里,弹幕,云雀在场,影院翻拍
117,牛来 #0117,ipfs-original,普通,牛来,直立呆站,死鱼眼,原厂贴图,勇士铠甲,无,贴图树林,无,云雀在场,片源直出
118,牛来 #0118,okx-reconstructed,普通,豹拉,T-pose残留,豆眼,原厂贴图,校服外套,假胡子,涨停板,弹幕,云雀缺席,片源直出
119,牛来 #0119,okx-reconstructed,普通,云雀,直立呆站,死鱼眼,原厂贴图,无,3D眼镜,大平地,弹幕,云雀缺席,影院翻拍
120,牛来 #0120,ipfs-original,普通,灵蛇,直立呆站,死鱼眼,原厂贴图,牛来卫衣,场记板,大平地,涨停标签,云雀缺席,片源直出
121,牛来 #0121,ipfs-original,稀有,狼狗,直立呆站,豆眼,UV接缝可见,股民西装马甲,保龄球果子,云上梦境,弹幕,云雀在场,片源直出
122,牛来 #0122,ipfs-original,普通,路人牛,直立呆站,豆眼,原厂贴图,皮草大衣,保龄球果子,大平地,无,云雀缺席,片源直出
123,牛来 #0123,ipfs-original,普通,豹拉,T-pose残留,死鱼眼,原厂贴图,无,无,大平地,弹幕,云雀缺席,影院翻拍
124,牛来 #0124,ipfs-original,普通,牛妈,直立呆站,五星眼,原厂贴图,无,场记板,牛群集会,无,云雀缺席,影院翻拍
125,牛来 #0125,ipfs-original,稀有,牛来,直立呆站,斗鸡眼,原厂贴图,牛马工牌衬衫,五星胸牌,大平地,弹幕,云雀在场,影院翻拍
126,牛来 #0126,ipfs-original,普通,云雀,直立呆站,死鱼眼,UV接缝可见,无,无,影厅,无,云雀缺席,影院翻拍
127,牛来 #0127,ipfs-original,普通,路人牛,T-pose残留,豆眼,原厂贴图,黑皮夹克,保龄球果子,梦境,涨停标签,云雀缺席,影院翻拍
128,牛来 #0128,ipfs-original,普通,牛妈,直立呆站,豆眼,UV接缝可见,无,牺牲光环,荒漠夜,弹幕,云雀缺席,影院翻拍
129,牛来 #0129,ipfs-original,普通,豹拉,直立呆站,斗鸡眼,原厂贴图,红唐装,口罩,大平地,无,云雀缺席,片源直出
130,牛来 #0130,ipfs-original,普通,云雀,单手举起,豆眼,原厂贴图,牛马工牌衬衫,金元宝,影院门口,无,云雀缺席,影院翻拍
131,牛来 #0131,ipfs-original,普通,牛妈,直立呆站,豆眼,UV接缝可见,红唐装,麦克风,大平地,弹幕,云雀缺席,片源直出
132,牛来 #0132,ipfs-original,普通,豹拉,T-pose残留,豆眼,UV接缝可见,无,奖杯,涨停板,弹幕,云雀在场,影院翻拍
133,牛来 #0133,ipfs-original,普通,灵蛇,T-pose残留,豆眼,原厂贴图,无,电影票根,牛群集会,无,云雀缺席,影院翻拍
134,牛来 #0134,ipfs-original,普通,牛妈,直立呆站,少了一只眼,UV接缝可见,白大褂,无,大平地,票房计数器,云雀缺席,影院翻拍
135,牛来 #0135,ipfs-original,稀有,路人牛,直立呆站,豆眼,原厂贴图,无,耳机,跌停板,加场印章,云雀在场,片源直出
136,牛来 #0136,ipfs-original,普通,豹拉,T-pose残留,少了一只眼,贴图丢失,白大褂,五星胸牌,影院门口,弹幕,云雀在场,影院翻拍
137,牛来 #0137,ipfs-original,普通,狼狗,直立呆站,豆眼,UV接缝可见,无,篮球,大平地,无,云雀缺席,片源直出
138,牛来 #0138,ipfs-original,普通,豹拉,直立呆站,豆眼,贴图丢失,股民西装马甲,无,云上梦境,加场印章,云雀缺席,影院翻拍
139,牛来 #0139,ipfs-original,稀有,豹拉,T-pose残留,少了一只眼,原厂贴图,黑皮夹克,牺牲光环,跌停板,加场印章,云雀在场,片源直出
140,牛来 #0140,ipfs-original,普通,牛来,直立呆站,豆眼,原厂贴图,股民西装马甲,K线小旗,水墨河谷,票房计数器,云雀在场,影院翻拍
141,牛来 #0141,ipfs-original,普通,牛来,T-pose残留,死鱼眼,贴图丢失,股民西装马甲,奖杯,影厅,涨停标签,云雀在场,影院翻拍
142,牛来 #0142,ipfs-original,普通,狼狗,T-pose残留,豆眼,原厂贴图,红唐装,方向盘,大平地,涨停标签,云雀缺席,影院翻拍
143,牛来 #0143,ipfs-original,普通,牛妈,T-pose残留,豆眼,UV接缝可见,无,麦克风,大平地,无,云雀缺席,片源直出
144,牛来 #0144,ipfs-original,普通,路人牛,单手举起,少了一只眼,原厂贴图,红领巾,奖杯,梦境,无,云雀在场,影院翻拍
145,牛来 #0145,ipfs-original,普通,灵蛇,直立呆站,死鱼眼,牛市金身,红领巾,无,大平地,弹幕,云雀缺席,片源直出
146,牛来 #0146,ipfs-original,普通,路人牛,直立呆站,豆眼,原厂贴图,牛马工牌衬衫,五星胸牌,悬崖推土车,票房计数器,云雀缺席,影院翻拍
147,牛来 #0147,ipfs-original,普通,路人牛,T-pose残留,豆眼,原厂贴图,红披风,安全帽,牛角古树,弹幕,云雀缺席,影院翻拍
148,牛来 #0148,ipfs-original,普通,云雀,T-pose残留,豆眼,UV接缝可见,红领巾,篮球,涨停板,穿模标注,云雀缺席,影院翻拍
149,牛来 #0149,ipfs-original,普通,牛来,T-pose残留,少了一只眼,UV接缝可见,红唐装,金元宝,大平地,无,云雀缺席,影院翻拍
150,牛来 #0150,ipfs-original,稀有,豹拉,单手举起,豆眼,UV接缝可见,黑皮夹克,保龄球果子,梦境,弹幕,云雀在场,片源直出
151,牛来 #0151,ipfs-original,普通,狼狗,直立呆站,豆眼,原厂贴图,无,保龄球果子,悬崖推土车,无,云雀缺席,影院翻拍
152,牛来 #0152,ipfs-original,普通,豹拉,单手举起,死鱼眼,原厂贴图,校服外套,锦旗,牛群集会,无,云雀在场,影院翻拍
153,牛来 #0153,ipfs-original,普通,路人牛,T-pose残留,斗鸡眼,贴图丢失,无,K线小旗,牛角古树,无,云雀在场,片源直出
154,牛来 #0154,ipfs-original,普通,豹拉,单手举起,豆眼,UV接缝可见,白大褂,麦克风,牛群集会,弹幕,云雀缺席,影院翻拍
155,牛来 #0155,ipfs-original,普通,狼狗,单手举起,斗鸡眼,UV接缝可见,红唐装,保龄球果子,荒漠,涨停标签,云雀缺席,影院翻拍
156,牛来 #0156,ipfs-original,普通,牛妈,直立呆站,豆眼,贴图丢失,无,无,影厅,票房计数器,云雀缺席,影院翻拍
157,牛来 #0157,ipfs-original,普通,路人牛,直立呆站,五星眼,贴图丢失,校服外套,爆米花桶,贴图树林,弹幕,云雀缺席,影院翻拍
158,牛来 #0158,ipfs-original,普通,路人牛,单手举起,斗鸡眼,UV接缝可见,黑皮夹克,麦克风,云上梦境,弹幕,云雀缺席,影院翻拍
159,牛来 #0159,ipfs-original,普通,路人牛,直立呆站,豆眼,原厂贴图,白大褂,无,梦境,穿模标注,云雀在场,片源直出
160,牛来 #0160,ipfs-original,普通,路人牛,T-pose残留,死鱼眼,原厂贴图,红领巾,一把韭菜,大平地,弹幕,云雀在场,片源直出
161,牛来 #0161,ipfs-original,普通,路人牛,直立呆站,豆眼,原厂贴图,无,锦旗,牛角古树,无,云雀缺席,影院翻拍
162,牛来 #0162,ipfs-original,普通,狼狗,直立呆站,少了一只眼,原厂贴图,校服外套,假胡子,牛马工位,无,云雀缺席,影院翻拍
163,牛来 #0163,ipfs-original,稀有,狼狗,T-pose残留,豆眼,原厂贴图,牛来卫衣,无,荒漠夜,弹幕,云雀在场,影院翻拍
164,牛来 #0164,ipfs-original,普通,灵蛇,直立呆站,死鱼眼,贴图丢失,无,牺牲光环,影厅,票房计数器,云雀缺席,影院翻拍
165,牛来 #0165,ipfs-original,普通,牛妈,T-pose残留,斗鸡眼,原厂贴图,红领巾,五星胸牌,大平地,无,云雀缺席,片源直出
166,牛来 #0166,ipfs-original,普通,牛来,直立呆站,死鱼眼,原厂贴图,红领巾,牛奶瓶,水墨河谷,无,云雀在场,影院翻拍
167,牛来 #0167,ipfs-original,普通,路人牛,T-pose残留,少了一只眼,原厂贴图,无,无,云上梦境,弹幕,云雀缺席,片源直出
168,牛来 #0168,ipfs-original,普通,路人牛,直立呆站,豆眼,贴图丢失,勇士铠甲,无,涨停板,无,云雀缺席,片源直出
169,牛来 #0169,ipfs-original,普通,牛妈,单手举起,少了一只眼,UV接缝可见,牛来卫衣,耳机,影厅,涨停标签,云雀缺席,片源直出
170,牛来 #0170,ipfs-original,普通,路人牛,单手举起,豆眼,原厂贴图,无,口罩,水墨河谷,无,云雀在场,影院翻拍
171,牛来 #0171,ipfs-original,普通,牛来,直立呆站,豆眼,原厂贴图,牛来卫衣,股民墨镜,涨停板,无,云雀在场,片源直出
172,牛来 #0172,okx-reconstructed,普通,路人牛,T-pose残留,死鱼眼,原厂贴图,黑皮夹克,无,荒漠,穿模标注,云雀缺席,片源直出
173,牛来 #0173,ipfs-original,普通,牛来,直立呆站,五星眼,原厂贴图,牛来卫衣,保龄球果子,大平地,弹幕,云雀在场,影院翻拍
174,牛来 #0174,ipfs-original,普通,豹拉,直立呆站,斗鸡眼,原厂贴图,红领巾,3D眼镜,水墨河谷,无,云雀在场,影院翻拍
175,牛来 #0175,ipfs-original,普通,牛来,直立呆站,死鱼眼,UV接缝可见,无,金元宝,牛马工位,无,云雀缺席,片源直出
176,牛来 #0176,ipfs-original,普通,灵蛇,直立呆站,死鱼眼,UV接缝可见,红领巾,篮球,涨停板,弹幕,云雀在场,片源直出
177,牛来 #0177,ipfs-original,普通,灵蛇,直立呆站,豆眼,原厂贴图,无,无,影厅,弹幕,云雀缺席,影院翻拍
178,牛来 #0178,ipfs-original,普通,牛来,单手举起,豆眼,原厂贴图,红披风,篮球,梦境,穿模标注,云雀缺席,影院翻拍
179,牛来 #0179,ipfs-original,普通,牛妈,直立呆站,死鱼眼,原厂贴图,黑皮夹克,牺牲光环,牛角古树,弹幕,云雀在场,片源直出
180,牛来 #0180,ipfs-original,普通,狼狗,单手举起,豆眼,UV接缝可见,无,无,荒漠,无,云雀在场,影院翻拍
181,牛来 #0181,ipfs-original,普通,路人牛,单手举起,豆眼,原厂贴图,红领巾,口罩,悬崖推土车,票房计数器,云雀在场,片源直出
182,牛来 #0182,ipfs-original,普通,云雀,直立呆站,豆眼,原厂贴图,股民西装马甲,牺牲光环,大平地,弹幕,云雀缺席,影院翻拍
